,Movies,Worldwide Collections
0,Avengers: Endgame,"$2,797,800,564"
1,The Lion King,"$1,656,943,394"
2,Frozen II,"$1,450,026,933"
3,Spider-Man: Far from Home,"$1,131,927,996"
4,Captain Marvel,"$1,128,274,794"
5,Joker,"$1,074,251,311"
6,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248"
7,Toy Story 4,"$1,073,394,593"
8,Aladdin,"$1,050,693,953"
9,Jumanji: The Next Level,"$796,575,993"
10,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935"
11,Ne Zha,"$726,063,471"
12,The Wandering Earth,"$699,760,773"
13,How to Train Your Dragon: The Hidden World,"$521,799,505"
14,Maleficent: Mistress of Evil,"$491,730,089"
15,It Chapter Two,"$473,093,228"
16,"My People, My Country","$450,064,993"
17,Pokémon Detective Pikachu,"$433,005,346"
18,The Secret Life of Pets 2,"$430,051,293"
19,The Captain,"$416,953,262"
20,Alita: Battle Angel,"$404,852,543"
21,Godzilla: King of the Monsters,"$386,600,138"
22,1917,"$374,717,445"
23,Once Upon a Time... in Hollywood,"$374,343,626"
24,Shazam!,"$365,971,656"
25,Dumbo,"$353,284,621"
26,John Wick: Chapter 3 - Parabellum,"$326,709,727"
27,Knives Out,"$309,232,797"
28,Terminator: Dark Fate,"$261,119,292"
29,Parasite,"$257,973,536"
30,Us,"$255,184,580"
31,Men in Black: International,"$253,890,701"
32,X-Men: Dark Phoenix,"$252,442,974"
33,Glass,"$246,999,039"
34,The Bravest,"$245,179,562"
35,Annabelle Comes Home,"$231,252,591"
36,Ford v Ferrari,"$225,508,210"
37,Better Days,"$225,320,294"
38,Little Women,"$209,101,214"
39,The Addams Family,"$203,044,905"
40,Rocketman,"$195,179,299"
41,Weathering with You,"$193,091,764"
42,The Lego Movie 2: The Second Part,"$192,306,508"
43,Downton Abbey,"$192,094,429"
44,The White Storm 2: Drug Lords,"$189,396,380"
45,Abominable,"$181,711,856"
46,Gemini Man,"$173,469,516"
47,Spies in Disguise,"$171,616,764"
48,Hustlers,"$157,563,598"
49,The Climbers,"$156,759,167"
50,Escape Room,"$155,712,077"
51,Yesterday,"$153,037,124"
52,The Angry Birds Movie 2,"$147,792,047"
53,Angel Has Fallen,"$147,516,118"
54,Ad Astra,"$127,461,872"
55,The Upside,"$125,852,517"
56,Midway,"$125,645,712"
57,The Curse of la Llorona,"$123,133,739"
58,Looking Up,"$122,994,583"
59,Zombieland: Double Tap,"$122,810,399"
60,Last Christmas,"$121,550,750"
61,Dora and the Lost City of Gold,"$120,624,994"
62,Extreme Job,"$119,932,733"
63,Wonder Park,"$119,559,110"
64,P Storm,"$117,991,727"
65,Pet Sematary,"$113,118,226"
66,Good Boys,"$110,989,316"
67,Scary Stories to Tell in the Dark,"$104,545,505"
68,Line Walker 2: Invisible Spy,"$99,482,027"
69,The Hustle,"$95,017,038"
70,Crawl,"$91,542,097"
71,Five Feet Apart,"$91,522,094"
72,Rambo: Last Blood,"$91,490,353"
73,Jojo Rabbit,"$90,335,025"
74,One Piece: Stampede,"$81,562,741"
75,A Dog's Way Home,"$80,708,134"
76,Cold Pursuit,"$76,419,755"
77,A Dog's Journey,"$75,602,573"
78,A Madea Family Funeral,"$74,747,725"
79,Cats,"$73,735,874"
80,Charlie's Angels,"$73,279,888"
81,Doctor Sleep,"$72,381,712"
82,What Men Want,"$72,216,294"
83,After,"$69,733,482"
84,Exit,"$69,501,772"
85,Playing with Fire,"$68,631,669"
86,A Beautiful Day in the Neighborhood,"$67,760,877"
87,War,"$67,179,155"
88,Happy Death Day 2U,"$64,600,152"
89,White Snake,"$61,631,776"
90,Ma,"$61,105,672"
91,Bombshell,"$59,636,523"
92,Ready or Not,"$57,615,777"
93,Long Shot,"$53,873,809"
94,Breakthrough,"$50,444,358"
95,Just Mercy,"$50,401,502"
96,Uncut Gems,"$50,023,780"
97,21 Bridges,"$49,939,757"
98,Little,"$48,987,096"
99,Isn't It Romantic,"$48,791,187"
100,Countdown,"$48,021,766"
101,Midsommar,"$47,863,365"
102,Queen & Slim,"$47,576,582"
103,47 Meters Down: Uncaged,"$46,783,103"
104,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356"
105,Child's Play,"$44,902,237"
106,Hellboy,"$44,664,690"
107,Richard Jewell,"$43,745,542"
108,Judy,"$43,613,708"
109,Harriet,"$43,282,155"
110,Fighting with My Family,"$40,810,036"
111,The Intruder,"$40,451,705"
112,Overcomer,"$38,026,103"
113,Pain and Glory,"$37,137,074"
114,The Bad Guys: The Movie,"$34,024,386"
115,The Good Liar,"$33,856,058"
116,The Art of Racing in the Rain,"$33,766,787"
117,Bharat,"$33,185,983"
118,Brightburn,"$32,893,421"
119,UglyDolls,"$32,450,241"
120,Stuber,"$32,390,945"
121,The Kid Who Would Be King,"$32,140,970"
122,Anna,"$31,640,190"
123,The Wild Goose Lake,"$31,037,956"
124,Gully Boy,"$28,141,995"
125,Total Dhamaal,"$26,911,995"
126,No Manches Frida 2,"$26,493,648"
127,Missing Link,"$26,249,469"
128,"The Gangster, the Cop, the Devil","$25,775,371"
129,Booksmart,"$24,863,452"
130,Super 30,"$24,701,637"
131,The Peanut Butter Falcon,"$22,959,755"
132,Black and Blue,"$22,741,061"
133,The Farewell,"$22,517,864"
134,Late Night,"$22,386,555"
135,Dark Waters,"$21,570,073"
136,Shaft,"$21,360,215"
137,Hotel Mumbai,"$21,314,816"
138,Unplanned,"$21,051,915"
139,Always Miss You,"$19,015,465"
140,Greta,"$18,653,107"
141,Peppa Celebrates Chinese New Year,"$18,653,040"
142,Black Christmas,"$18,529,730"
143,Motherless Brooklyn,"$18,477,736"
144,The Lighthouse,"$18,053,194"
145,Blinded by the Light,"$18,019,198"
146,Kalank,"$17,987,034"
147,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864"
148,Nothing to Lose 2,"$16,610,713"
149,Tazza: One-Eyed Jack,"$16,572,611"
150,Poms,"$16,418,218"
151,Little Q,"$16,360,233"
152,Playmobil: The Movie,"$16,349,303"
153,The Kitchen,"$15,980,032"
154,Miss Bala,"$15,383,580"
155,Apollo 11,"$15,342,353"
156,The Dead Don't Die,"$15,321,451"
157,Serenity,"$14,454,622"
158,The Current War: Director's Cut,"$12,192,272"
159,Miss & Mrs. Cops,"$12,147,170"
160,The Divine Fury,"$11,799,556"
161,Bring The Soul: The Movie,"$11,393,886"
162,Gloria Bell,"$11,145,006"
163,"Where'd You Go, Bernadette","$10,304,189"
164,The Best of Enemies,"$10,209,813"
165,BTS World Tour: Love Yourself in Seoul,"$10,195,760"
166,The Goldfinch,"$9,932,621"
167,Portrait of a Lady on Fire,"$9,920,307"
168,Arctic Dogs,"$9,883,393"
169,Tod@s Caen,"$9,667,157"
170,Official Secrets,"$9,581,462"
171,Promare,"$9,465,371"
172,Jexi,"$9,333,385"
173,The Aftermath,"$9,215,591"
174,Tolkien,"$9,090,040"
175,Captive State,"$8,808,611"
176,Sorry We Missed You,"$8,746,534"
177,The Traitor,"$8,726,287"
178,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612"
179,Pavarotti,"$7,885,016"
180,The Battle of Jangsari,"$7,883,200"
181,By the Grace of God,"$7,755,652"
182,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048"
183,Penguins,"$7,699,452"
184,The White Crow,"$7,622,595"
185,Brittany Runs a Marathon,"$7,442,106"
186,Mayday Life,"$7,435,496"
187,Wild Rose,"$7,123,449"
188,The Sun Is Also a Star,"$6,750,029"
189,National Theatre Live: Fleabag,"$6,547,180"
190,Run the Race,"$6,424,420"
191,The Mustang,"$6,405,816"
192,Immortal Hero,"$6,180,032"
193,"Cyrano, My Love","$5,985,822"
194,Furie,"$5,717,640"
195,Saaho,"$5,708,522"
196,Mission Mangal,"$5,667,057"
197,Don't Let Go,"$5,288,011"
198,The Biggest Little Farm,"$5,248,412"
199,The Truth,"$5,169,378"
200,Forrest Gump 2019 Re-release,"$5,140,828"
201,The Professor and the Madman,"$5,103,473"
202,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$5,078,942"
203,Menteur,"$4,697,364"
204,Jay and Silent Bob Reboot,"$4,691,248"
205,Housefull 4,"$4,624,936"
206,A Hidden Life,"$4,614,219"
207,The Last Black Man in San Francisco,"$4,607,017"
208,The Beach Bum,"$4,554,416"
209,Swift,"$4,428,275"
210,Brian Banks,"$4,376,819"
211,Uri: The Surgical Strike 2019 Re-release,"$4,302,454"
212,Linda Ronstadt: The Sound of My Voice,"$4,252,657"
213,Savage,"$4,140,502"
214,Arctic 2019 Re-release,"$4,124,015"
215,Junglee,"$4,033,587"
216,Lucifer,"$3,956,978"
217,Ride Your Wave,"$3,927,015"
218,Western Stars,"$3,681,681"
219,Badla,"$3,590,894"
220,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550"
221,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,531,837"
222,Faustina: Love and Mercy,"$3,498,887"
223,Maiden,"$3,495,241"
224,The Aeronauts,"$3,437,762"
225,Bacurau,"$3,431,403"
226,Midnight Diner,"$3,412,771"
227,Friends 25th: The One With The Anniversary,"$3,403,406"
228,Honey Boy,"$3,400,977"
229,The Hole in the Ground,"$3,373,474"
230,Echo in the Canyon,"$3,355,324"
231,The Death & Life of John F. Donovan,"$3,326,364"
232,Chhichhore,"$3,307,350"
233,Marianne & Leonard: Words of Love,"$3,268,815"
234,Pilgrim's Progress,"$3,173,282"
