,Movies,Worldwide Collections
0,Avengers: Infinity War,"$2,048,359,754"
1,Black Panther,"$1,346,913,161"
2,Jurassic World: Fallen Kingdom,"$1,308,467,944"
3,Incredibles 2,"$1,242,805,359"
4,Aquaman,"$1,148,461,807"
5,Bohemian Rhapsody,"$903,655,259"
6,Venom,"$856,085,151"
7,Mission: Impossible - Fallout,"$791,115,104"
8,Deadpool 2,"$734,546,611"
9,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901"
10,Ant-Man and the Wasp,"$622,674,139"
11,Ready Player One,"$582,890,172"
12,Operation Red Sea,"$579,330,426"
13,Detective Chinatown 2,"$544,185,156"
14,The Meg,"$530,243,742"
15,Ralph Breaks the Internet,"$529,323,962"
16,Hotel Transylvania 3: Summer Vacation,"$528,583,774"
17,The Grinch,"$511,595,957"
18,Bumblebee,"$467,989,645"
19,A Star Is Born,"$436,188,866"
20,Rampage,"$428,028,233"
21,Mamma Mia! Here We Go Again,"$395,044,706"
22,Solo: A Star Wars Story,"$392,924,807"
23,Spider-Man: Into the Spider-Verse,"$375,540,831"
24,Fifty Shades Freed,"$371,985,018"
25,The Nun,"$365,550,119"
26,Monster Hunt 2,"$361,682,618"
27,Peter Rabbit,"$351,266,433"
28,Mary Poppins Returns,"$349,537,494"
29,A Quiet Place,"$340,939,361"
30,Green Book,"$321,752,656"
31,Skyscraper,"$304,868,961"
32,Ocean's 8,"$297,718,711"
33,Pacific Rim: Uprising,"$290,930,148"
34,Maze Runner: The Death Cure,"$288,175,335"
35,Tomb Raider,"$274,650,803"
36,Halloween,"$255,485,178"
37,Crazy Rich Asians,"$238,532,921"
38,Creed II,"$214,215,889"
39,Smallfoot,"$214,040,103"
40,The Island,"$198,326,350"
41,Christopher Robin,"$197,744,377"
42,The Equalizer 2,"$190,400,157"
43,The Mule,"$174,804,407"
44,The Nutcracker and the Four Realms,"$173,961,069"
45,Insidious: The Last Key,"$167,885,588"
46,The Predator,"$160,542,134"
47,Johnny English Strikes Again,"$158,970,776"
48,Red Sparrow,"$151,572,634"
49,More Than Blue,"$142,958,164"
50,The First Purge,"$137,056,262"
51,How Long Will I Love U,"$136,796,719"
52,A Wrinkle in Time,"$132,675,864"
53,The House with a Clock in Its Walls,"$131,457,147"
54,Instant Family,"$120,556,201"
55,A Cool Fish,"$118,153,135"
56,Game Night,"$117,679,066"
57,Dragon Ball Super: Broly,"$115,560,610"
58,The Monkey King 3,"$115,084,576"
59,First Man,"$105,697,415"
60,Book Club,"$104,438,188"
61,Night School,"$103,105,878"
62,Alpha,"$98,203,196"
63,Along With the Gods: The Last 49 Days,"$97,962,238"
64,A Simple Favor,"$97,644,617"
65,The Favourite,"$95,918,706"
66,Truth or Dare,"$95,330,493"
67,I Feel Pretty,"$94,539,426"
68,Blockers,"$94,017,294"
69,BlacKkKlansman,"$93,400,823"
70,Goosebumps 2: Haunted Halloween,"$93,320,380"
71,Shadow,"$91,708,374"
72,Overboard,"$91,244,913"
73,Sherlock Gnomes,"$90,497,778"
74,Detective Dee: The Four Heavenly Kings,"$90,040,771"
75,Robin Hood,"$86,489,031"
76,I Can Only Imagine,"$86,056,345"
77,Mortal Engines,"$83,672,673"
78,Den of Thieves,"$80,509,622"
79,Hereditary,"$80,200,936"
80,Tag,"$78,130,625"
81,Sanju,"$76,693,052"
82,Vice,"$76,073,488"
83,Widows,"$75,984,700"
84,Sicario: Day of the Soldado,"$75,837,743"
85,Searching,"$75,462,037"
86,The Spy Who Dumped Me,"$75,320,680"
87,Second Act,"$72,282,227"
88,Spirited Away 2018 Re-release,"$70,186,029"
89,Shoplifters,"$67,999,335"
90,12 Strong,"$67,450,815"
91,"Love, Simon","$66,316,289"
92,Mile 22,"$66,308,758"
93,Life of the Party,"$65,859,911"
94,Capernaum,"$64,413,178"
95,Isle of Dogs,"$64,241,499"
96,Adrift,"$59,945,012"
97,The 15:17 to Paris,"$57,076,286"
98,Early Man,"$54,622,814"
99,Peppermint,"$53,918,723"
100,Teen Titans GO! to the Movies,"$52,090,236"
101,Slender Man,"$51,738,549"
102,Breaking In,"$51,411,620"
103,Once Upon a Deadpool 2018 Re-release,"$51,247,568"
104,Death Wish,"$49,562,710"
105,Andhadhun,"$49,391,206"
106,Golden Job,"$47,279,677"
107,Mary Queen of Scots,"$46,710,283"
108,Uncle Drew,"$46,664,414"
109,Tyler Perry's Acrimony,"$46,403,669"
110,Asterix: The Secret of the Magic Potion,"$46,221,204"
111,Winchester,"$44,019,588"
112,Annihilation,"$43,070,915"
113,The Possession of Hannah Grace,"$43,016,528"
114,Long Day's Journey Into Night,"$42,140,994"
115,Overlord,"$41,657,844"
116,The Great Battle,"$41,509,280"
117,The Darkest Minds,"$41,142,379"
118,Holmes & Watson,"$40,466,970"
119,Show Dogs,"$39,156,854"
120,Believer,"$39,047,153"
121,The Spy Gone North,"$38,844,509"
122,On the Basis of Sex,"$38,673,750"
123,Till The End Of The World,"$37,013,733"
124,Nothing to Lose,"$36,075,317"
125,Mia and the White Lion,"$35,487,190"
126,The Girl in the Spider's Web,"$35,164,920"
127,The Hate U Give,"$34,934,009"
128,Nobody's Fool,"$33,705,333"
129,Baaghi 2,"$33,139,063"
130,The Hurricane Heist,"$32,517,248"
131,Bad Times at the El Royale,"$31,882,724"
132,Hunter Killer,"$31,672,678"
133,Super Troopers 2,"$31,626,386"
134,The Strangers: Prey at Night,"$31,039,126"
135,Free Solo,"$29,318,861"
136,Pad Man,"$29,045,020"
137,Default,"$27,709,716"
138,One Cut of the Dead,"$27,590,180"
139,Mirai,"$27,526,961"
140,The Happytime Murders,"$27,506,452"
141,Midnight Sun,"$27,365,467"
142,My Neighbor Totoro 2018 Re-release,"$27,083,857"
143,Hichki,"$26,055,222"
144,White Boy Rick,"$25,957,482"
145,"Paul, Apostle of Christ","$25,915,966"
146,Keys To The Heart,"$25,375,866"
147,Stan & Ollie,"$24,420,923"
148,The Accidental Detective 2: In Action,"$24,243,825"
149,Pokémon the Movie: The Power of Us,"$23,740,788"
150,Padmaavat,"$22,991,060"
151,Won't You Be My Neighbor?,"$22,843,246"
152,Mojin: The Worm Valley,"$22,381,583"
153,Big Brother,"$22,029,250"
154,Master Z: The Ip Man Legacy,"$21,832,649"
155,Proud Mary,"$21,753,365"
156,The Prodigy,"$21,150,265"
157,Gonjiam: Haunted Asylum,"$21,041,950"
158,My Hero Academia: Two Heroes,"$21,022,724"
159,SuperFly,"$20,780,685"
160,If Beale Street Could Talk,"$20,596,567"
161,Burn the Stage: The Movie,"$20,347,513"
162,Cold War 2018 Re-release,"$20,296,042"
163,The Wife,"$19,978,189"
164,Everybody Knows,"$19,176,163"
165,They Shall Not Grow Old 2018 Re-release,"$19,130,011"
166,Oolong Courtyard: KungFu School,"$19,129,015"
167,Detective K: Secret of the Living Dead,"$18,603,476"
168,Airpocalypse,"$18,491,089"
169,Chappaquiddick,"$18,263,470"
170,Sorry to Bother You,"$18,170,707"
171,Hell Fest,"$18,159,691"
172,The Old Man & the Gun,"$17,860,397"
173,The Children Act,"$17,696,794"
174,Operation Finale,"$17,612,099"
175,Loving Pablo,"$17,535,962"
176,102 Not Out,"$16,758,596"
177,Beautiful Boy,"$16,636,604"
178,Upgrade,"$16,593,554"
